city,state,population
Livonia,Michigan,94849
Brockton,Massachusetts,94813
Sparks,Nevada,94718
Allen,Texas,94710
Lee's Summit,Missouri,94257
Federal Way,Washington,93986
Roswell,Georgia,93968
Yuma,Arizona,93704
Quincy,Massachusetts,93349
Yakima,Washington,93338
Spokane Valley,Washington,93322
Orem,Utah,93220
Sandy,Utah,93141
Rio Rancho,New Mexico,92966
Carson,California,92780
Hesperia,California,92664
Lawrence,Kansas,92611
Santa Monica,California,92247
Lynn,Massachusetts,92074
Miami Beach,Florida,91784
Boca Raton,Florida,91702
Westminster,California,91635
San Marcos,California,91479
Redding,California,91320
Sunrise,Florida,91177
Santa Barbara,California,90922
Plantation,Florida,90878
Longmont,Colorado,90719
Germantown,Maryland,90494
Greenville,North Carolina,89745
Chico,California,89377
San Leandro,California,89039
Fall River,Massachusetts,88902
Toms River,New Jersey,88537
San Tan Valley,Arizona,88507
Edmond,Oklahoma,88342
Newton,Massachusetts,88317
Meridian,Idaho,88247
Waukegan,Illinois,88159
Norwalk,Connecticut,87930
Reading,Pennsylvania,87899
Nampa,Idaho,87896
Fort Smith,Arkansas,87712
Asheville,North Carolina,87531
Deltona,Florida,87387
Nashua,New Hampshire,87279
Suffolk,Virginia,87061
Carmel,Indiana,86940
Hawthorne,California,86938
Alafaya,Florida,86868
Newport Beach,California,86813
Whittier,California,86630
Livermore,California,86493
Tracy,California,86382
Duluth,Minnesota,86164
Citrus Heights,California,85954
Fishers,Indiana,85887
Kirkland,Washington,85812
Concord,North Carolina,85753
Sugar Land,Texas,85681
Clifton,New Jersey,85578
Indio,California,85401
Bloomington,Minnesota,85080
Menifee,California,84978
Ogden,Utah,84900
Alhambra,California,84866
Champaign,Illinois,84672
Riverview,Florida,84590
Trenton,New Jersey,84559
Bellingham,Washington,84462
Bend,Oregon,84416
Edinburg,Texas,84399
Hoover,Alabama,84100
O'Fallon,Missouri,84018
Cicero,Illinois,83972
Danbury,Connecticut,83890
Chino,California,83670
Bloomington,Indiana,83093
Troy,Michigan,82982
Johns Creek,Georgia,82930
Santa Fe,New Mexico,82927
Buena Park,California,82771
Hemet,California,82748
Sioux City,Iowa,82666
Redwood City,California,82595
Town 'n' Country,Florida,82554
Westland,Michigan,82218
Mission,Texas,82200
Longview,Texas,82184
Warwick,Rhode Island,81881
Merced,California,81461
Farmington Hills,Michigan,81154
Lakewood,California,81054
Palm Coast,Florida,80948
Cranston,Rhode Island,80882
Largo,Florida,80678
Lake Forest,California,80658
Avondale,Arizona,80631
Fayetteville,Arkansas,80552
Bryan,Texas,80552
Parma,Ohio,80088
Napa,California,79567
Somerville,Massachusetts,79507
Tustin,California,79396
Lawrence,Massachusetts,79337
New Rochelle,New York,79299
Melbourne,Florida,78911
Medford,Oregon,78856
Mountain View,California,78827
Brooklyn Park,Minnesota,78823
Lynchburg,Virginia,78755
Deerfield Beach,Florida,78642
St. George,Utah,78573
Bloomington,Illinois,78368
Hammond,Indiana,78349
Caguas,Puerto Rico,78225
Silver Spring,Maryland,78038
Kennewick,Washington,77975
Racine,Wisconsin,77931
Mount Pleasant,South Carolina,77907
Gary,Indiana,77858
Bellflower,California,77687
Alameda,California,77409
Chino Hills,California,77266
Pleasanton,California,77046
St. Joseph,Missouri,76901
Baldwin Park,California,76511
Scranton,Pennsylvania,76380
Springdale,Arkansas,76188
Camden,New Jersey,76005
Kalamazoo,Michigan,75885
Upland,California,75851
Arlington Heights,Illinois,75721
Albany,Georgia,75657
Auburn,Washington,75607
Evanston,Illinois,75472
Baytown,Texas,75310
Pharr,Texas,75172
Bethlehem,Pennsylvania,75110
Plymouth,Minnesota,75105
Lake Charles,Louisiana,75044
Folsom,California,74960
Wyoming,Michigan,74692
Cheektowaga,New York,74673
Kendall,Florida,74559
Conroe,Texas,74482
San Ramon,California,74366
Schaumburg,Illinois,74366
Bolingbrook,Illinois,74320
Decatur,Illinois,74063
Gastonia,North Carolina,73877
Perris,California,73718
Manteca,California,73570
Union City,California,73500
Milpitas,California,73447
Appleton,Wisconsin,73446
Dale City,Virginia,73384
Loveland,Colorado,73360
Warner Robins,Georgia,73265
Centreville,Virginia,73084
Southfield,Michigan,73055
Rochester Hills,Michigan,72987
New Britain,Connecticut,72876
Boynton Beach,Florida,72748
Atascocita,Texas,72713
Jonesboro,Arkansas,72638
Goodyear,Arizona,72629
Rapid City,South Dakota,72441
Waldorf,Maryland,72413
Layton,Utah,72413
Iowa City,Iowa,72385
Canton,Ohio,72163
Waukesha,Wisconsin,72016
Missouri City,Texas,71732
Guaynabo,Puerto Rico,71667
Wilmington,Delaware,71502
Apple Valley,California,71455
Pawtucket,Rhode Island,71389
Gulfport,Mississippi,71265
Lafayette,Indiana,71249
Lynwood,California,71233
Turlock,California,71166
Temple,Texas,71138
Fort Myers,Florida,71051
Ellicott City,Maryland,70780
Framingham,Massachusetts,70743
Franklin,Tennessee,70625
Passaic,New Jersey,70536
Lauderhill,Florida,70452
Redlands,California,70442
Rock Hill,South Carolina,70251
Missoula,Montana,70117
Flower Mound,Texas,69966
Pine Hills,Florida,69733
Muncie,Indiana,69583
Rancho Cordova,California,69482
The Villages,Florida,69457
Flagstaff,Arizona,69270
Palatine,Illinois,69098
Glen Burnie,Maryland,69060
Bismarck,North Dakota,68981
Union City,New Jersey,68965
Weston,Florida,68893
Casas Adobes,Arizona,68695
Pasco,Washington,68567
Jacksonville,North Carolina,68404
Waterloo,Iowa,68357
St. Charles,Missouri,68341
Frederick,Maryland,68229
Mount Vernon,New York,68217
Dothan,Alabama,68066
Pittsburg,California,67998
North Richland Hills,Texas,67994
Redondo Beach,California,67664
Eau Claire,Wisconsin,67654
Walnut Creek,California,67568
Yorba Linda,California,67362
Jackson,Tennessee,67162
Bossier City,Louisiana,67152
New Braunfels,Texas,67097
Maple Grove,Minnesota,66969
Kenner,Louisiana,66954
Davis,California,66886
Kissimmee,Florida,66840
St. Cloud,Minnesota,66770
Oshkosh,Wisconsin,66713
Woodbury,Minnesota,66699
Palo Alto,California,66649
Portland,Maine,66649
Camarillo,California,66630
South San Francisco,California,66587
Yuba City,California,66147
Victoria,Texas,66139
Gaithersburg,Maryland,66104
North Little Rock,Arkansas,66042
Eagan,Minnesota,65874
Bayonne,New Jersey,65772
Homestead,Florida,65688
Harlingen,Texas,65634
Schenectady,New York,65554
Johnson City,Tennessee,65415
Mayaguez,Puerto Rico,65396
Rockville,Maryland,65171
Youngstown,Ohio,65161
San Clemente,California,65082
Delray Beach,Florida,65044
Laguna Niguel,California,64984
Marysville,Washington,64955
Skokie,Illinois,64873
East Orange,New Jersey,64621
Shawnee,Kansas,64444
Conway,Arkansas,64184
Daytona Beach,Florida,64105
Ames,Iowa,64073
Janesville,Wisconsin,63880
Lodi,California,63842
Tamarac,Florida,63747
Pico Rivera,California,63724
Lorain,Ohio,63714
