iter	Passed	Remaining
636	13211	7528
637	13226	7504
638	13242	7481
639	13257	7457
640	13272	7433
641	13288	7410
642	13304	7386
643	13319	7363
644	13334	7339
645	13350	7315
646	13366	7292
647	13381	7268
648	13395	7244
649	13413	7222
650	13426	7198
651	13442	7174
652	13459	7152
653	13474	7128
654	13490	7105
655	13506	7082
656	13523	7060
657	13538	7036
658	13553	7013
659	13569	6990
660	13584	6966
661	13600	6943
662	13615	6920
663	13630	6897
664	13647	6874
665	13663	6852
666	13679	6829
667	13697	6807
668	13714	6785
669	13731	6763
670	13749	6741
671	13770	6721
672	13790	6700
673	13804	6677
674	13819	6653
675	13834	6630
676	13850	6607
677	13866	6585
678	13882	6563
679	13898	6540
680	13916	6518
681	13934	6497
682	13950	6474
683	13964	6451
684	13978	6428
685	13994	6405
686	14013	6384
687	14041	6367
688	14079	6355
689	14109	6338
690	14129	6318
691	14151	6298
692	14172	6278
693	14198	6260
694	14220	6240
695	14241	6220
696	14261	6199
697	14282	6179
698	14304	6159
699	14326	6139
700	14349	6120
701	14372	6101
702	14398	6083
703	14475	6086
704	14505	6069
705	14526	6049
706	14547	6028
707	14569	6008
708	14584	5986
709	14601	5963
710	14616	5941
711	14633	5919
712	14650	5897
713	14668	5875
714	14687	5854
715	14704	5832
716	14720	5810
717	14736	5787
718	14752	5765
719	14769	5743
720	14785	5721
721	14832	5710
722	14856	5691
723	14875	5670
724	14900	5652
725	14923	5632
726	14946	5612
727	14971	5593
728	15004	5577
729	15051	5566
730	15186	5588
731	15236	5578
732	15260	5558
733	15286	5539
734	15302	5517
735	15323	5496
736	15341	5474
737	15361	5453
738	15382	5432
739	15403	5412
740	15423	5391
741	15439	5368
742	15457	5346
743	15472	5323
744	15488	5301
745	15504	5278
746	15521	5256
747	15537	5234
748	15605	5229
749	15669	5223
750	15748	5221
751	15793	5208
752	15817	5188
753	15845	5169
754	15871	5150
755	15903	5132
756	15961	5123
757	15991	5105
758	16014	5085
759	16051	5068
760	16113	5060
761	16143	5042
